order_id,customer_id,product,category,quantity,price,order_date,city
1001,C101,Laptop,Electronics,1,55000,2026-01-05,Bengaluru
1002,C102,Mobile,Electronics,2,20000,2026-01-07,Mangaluru
1003,C103,Headphones,Accessories,1,2500,2026-01-10,Mysuru
1004,C104,Keyboard,Accessories,2,1500,2026-01-12,Udupi
1005,C105,Monitor,Electronics,1,12000,2026-01-15,Bengaluru
1006,C101,Mouse,Accessories,3,800,2026-01-18,Mangaluru
1007,C106,Laptop,Electronics,1,62000,2026-01-20,Mysuru
1008,C107,Mobile,Electronics,1,18000,2026-01-22,Udupi
1009,C108,Keyboard,Accessories,2,1700,2026-01-25,Bengaluru
1010,C109,Monitor,Electronics,1,14000,2026-01-28,Mangaluru
